system:index,NDVI,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,deforestation,geometry_name,year,.geo
0,0.845505403042268,0.01669062340891882,0.0333065348502524,0.02206536791459124,0.2596693811022654,0.12131761174707935,0.043942055376282235,4.5670331393782743E-4,treated,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.7467885030972969,0.039906651278193976,0.057027850185108406,0.046913356637774725,0.30259231198710856,0.14968698269114095,0.06658940202607769,0.020098307562300327,donor1,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.8475723722737167,0.01758182756111332,0.03540337513815717,0.02316920332231704,0.2760962819638613,0.13118503614459232,0.04824295394565127,9.754581851893357E-4,donor2,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.8253436750704926,0.022640421004047007,0.040394498487295934,0.0285115065041167,0.2965566556839245,0.1417101369619237,0.05512050627021614,1.8292035054853442E-4,donor3,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.7795926845237208,0.031159246797788573,0.048687118585585096,0.03833706253313616,0.28469242770273007,0.14447732677072023,0.05983279040969959,0.00545502194780351,donor4,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.7800697216022352,0.022397659270900958,0.04487256770252618,0.03593637953697748,0.2861663628201674,0.16117752151154305,0.06817965334556605,0.014138692796235022,donor5,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.8167533732482938,0.022188108172229836,0.03908811553325213,0.02897981235548039,0.2610958329294812,0.12474403151335142,0.04981905565883045,0.0011191369840064728,treated,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.8298043951948768,0.020887054389486966,0.039751747481359886,0.02807969124309225,0.3030066278808333,0.1460396580112833,0.057990553637706034,0.01071597478777846,donor1,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.823253205947702,0.023553736776938727,0.04178686487254542,0.030532279529843633,0.28350025995262573,0.13700905313894796,0.05563394560265832,0.016747757589776806,donor2,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.7512791397231716,0.03714549156955932,0.05411675990253065,0.043789495874746315,0.29686917471032637,0.15141701863818308,0.06799086757524014,0.002580403543489116,donor3,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.7714665253448145,0.0324816828730135,0.05140136681278014,0.04107950154090778,0.29735352819585537,0.15313459509045985,0.06882992390769244,0.01926700100772016,donor4,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.75278546464044,0.025247227562284747,0.04820474703232029,0.04158986708961287,0.28522421056178376,0.17036023365399933,0.07694633104943414,0.05155777924269481,donor5,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.858757226151742,0.01442458210972556,0.03152008552407811,0.02003144501763825,0.26012919005458507,0.11921866236863554,0.042842696129582386,1.1742602160638798E-4,treated,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.8176481004089031,0.034813438600643454,0.051172575493840876,0.04083856835657213,0.3141476671575946,0.15489317761506838,0.06291020771576349,0.007756666416155975,donor1,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.7794461662757041,0.04078404697219307,0.05645558129657479,0.04717133726903953,0.28707853068977524,0.14941027435941454,0.06783064186845826,0.006170257833111086,donor2,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.7855382698961814,0.04002796871033058,0.054308586930237185,0.0453521887083916,0.29002919013293665,0.1470276694087106,0.06224323893043194,3.1239436291366024E-4,donor3,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.8341933188840787,0.01779526779092912,0.036663385748329384,0.025275639719156473,0.28306557711296226,0.1381736133725557,0.052907761653870164,0.008618417341138116,donor4,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.7410908139996686,0.023569618683681334,0.0468877703373033,0.041634157332769754,0.27581487759326584,0.17659742780099622,0.08239539256546018,0.02556250113745838,donor5,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.844298010290606,0.017567123795634805,0.033655523874331246,0.023709181015903625,0.27062507390887225,0.12550150712987412,0.047209294641239595,8.079405240589898E-4,treated,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.8410097821031923,0.01978746316172891,0.038509168664564795,0.026665347142674826,0.30745772903271223,0.1430857984076026,0.05497341668591456,0.0225987666661319,donor1,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.7368870539413879,0.05016695224980009,0.06340742255080238,0.05806585501312307,0.2961299168010396,0.16294529929891216,0.07752931123514151,0.017694549855859457,donor2,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.5317019240939859,0.16827419052116874,0.15960130613272872,0.1633697779008491,0.32956889727717886,0.20101756642011484,0.11467983758357006,0.003597572934514987,donor3,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.8278178911242294,0.018740872184097233,0.038173400542381844,0.027149244537642198,0.28888943552996094,0.14110072319383718,0.0548229390002325,0.029522117683675932,donor4,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.6978520465115904,0.04256455414020507,0.06349845612007901,0.06071611382559739,0.2947100664423558,0.19256341435085794,0.0925698823501666,0.056091610576457396,donor5,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.8131373268798453,0.022030852299259957,0.03911418391548708,0.02868357990598048,0.26619236584209416,0.12886811114509197,0.050968852554196364,8.752673947237502E-4,treated,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.7756094043756184,0.03174924448001364,0.05040577103800868,0.03996551192225533,0.3049855222319364,0.1488899910782865,0.06405240705293647,0.01702447028378386,donor1,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.7685616564293508,0.03240606023475467,0.05002759522995021,0.040845354157091916,0.2853762223179305,0.15333741712841156,0.06695759866283844,0.017635932417771966,donor2,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.7857237153379095,0.03171376245688743,0.04847826303126165,0.03921181936620354,0.29026973971189685,0.14929881453313346,0.061605743689648135,0.013558788535480402,donor3,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.730007506054533,0.0395949572879703,0.05772907292889569,0.04973397460488645,0.2895617205113827,0.15626139900747224,0.07188926065912224,0.029316041965566707,donor4,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.7080773920211174,0.029967384192483557,0.05441434682367832,0.0502353750624285,0.28696539201478605,0.1918206266579653,0.09301214688754018,0.03097941080468747,donor5,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.8360071152144772,0.02155772718348041,0.039112336016485935,0.02799463918074794,0.288447551758196,0.1346538728334278,0.052768764715645455,5.856714618223221E-4,treated,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.7677317410316253,0.043085644793312734,0.05817338887247212,0.04913586691835551,0.3160017909271489,0.15864403786908102,0.07047522165290578,0.013441906800041939,donor1,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.8130333032432192,0.022665613649501846,0.04236642274788288,0.03187289101168765,0.29851291081873726,0.15761883032147733,0.06636627370871315,0.01838284983407272,donor2,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.6969154603766322,0.06744946573146206,0.0782592881266349,0.07231219207250064,0.307866277060695,0.17013411203677745,0.0767557125056466,0.001419250329172739,donor3,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.7722142335785868,0.027920523807137193,0.04791297862224432,0.03956267884019616,0.2855205835613349,0.1586572437512654,0.07016664556098134,0.034702807952449254,donor4,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.6642680585193619,0.035013123039291306,0.059376894207818894,0.05870930145718199,0.2828960870649505,0.21105635237402015,0.10963706451137137,0.041147264694148804,donor5,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0.8558722150879509,0.014741986382517658,0.031918762774173354,0.02042412108772604,0.2601963658791095,0.11932526070901267,0.04346821828948926,2.1613178362139043E-4,treated,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0.7750347232349786,0.03692034297626063,0.056415836056839856,0.0442096559714151,0.32658481711707726,0.1609377218834704,0.07448770695688396,0.02093456469643933,donor1,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0.8495940691575689,0.016867083650590246,0.035891243869645685,0.023486079503241133,0.28153977225187293,0.13731577990647423,0.052281910123592464,0.005280689978167187,donor2,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0.785109931473608,0.030374456947551705,0.0486766394729357,0.03791218552719763,0.29232920334239343,0.14659222509275976,0.0607882666533007,0.0062340056882363454,donor3,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0.6781632838345482,0.10393567470133616,0.112086772216883,0.10908406566430699,0.32718634671971164,0.20476152953808643,0.0970848703638157,0.017374791684741743,donor4,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0.7072539126209056,0.0422702026302919,0.06430725209312095,0.058194270840625395,0.3014753322485203,0.1904524956594199,0.09214059426149607,0.02083876143387518,donor5,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0.8179418704435362,0.025908008645916414,0.04266148940878858,0.03218156158852282,0.28310474114763734,0.132777067692302,0.05437891192454383,5.786953938092235E-4,treated,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0.7589847989722615,0.0473144625700318,0.06255230027134578,0.05473366200690589,0.314471319765959,0.16330955482906415,0.07333167437291617,0.012191458315850131,donor1,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0.7950634400051269,0.028574876788240198,0.04753118612241366,0.036996634205053426,0.3004970593830533,0.1553406760886657,0.06691366967123906,0.02341794795119323,donor2,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0.6807611530473024,0.06750085116439629,0.07876173682375776,0.07195289616776532,0.31243541076893366,0.16860671885845274,0.0820938074293765,0.009774148802326521,donor3,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0.6813820245571528,0.06003250576005301,0.07488082209273243,0.07049172374027196,0.3070274398236383,0.17895102780502567,0.09157223370791345,0.023533863240418142,donor4,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,0.6921727680629635,0.030572569045757163,0.05528935730059379,0.05279261124020838,0.28429473349792994,0.20175108987052562,0.09843285193124805,0.013568420513673865,donor5,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0.78910331586132,0.033036425976245294,0.04813131652756597,0.039273612298595384,0.2747343208643625,0.13548081796682726,0.059332433910721655,1.7184511959860338E-4,treated,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0.7094764914112441,0.06182014256088733,0.07541155910457865,0.06977433061275472,0.3296778635230383,0.1738806233979915,0.0882532690216605,0.013931800852988507,donor1,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0.7780963898070612,0.035997044997479806,0.05283359045597488,0.04328139303880806,0.29305088629344433,0.15446448475502303,0.06883936771707028,0.006754168216618451,donor2,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0.6628361157491451,0.0614567174459567,0.07557738527787296,0.06915525033637143,0.29969561237191056,0.15874461213141333,0.08215598465248815,0.0022383332939657644,donor3,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0.7375038921628059,0.036509055246988414,0.05668634197436177,0.04970104348346876,0.2940379587854918,0.16675784117946094,0.07847378106419396,0.022078779792393918,donor4,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0.7117583245583983,0.02911395935130358,0.053977713984485205,0.04997266125363637,0.28809884704879424,0.19422812945370233,0.0922486856101611,0.01412583243483983,donor5,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0.8401468909084676,0.01965861901876254,0.03634084581935115,0.02423758636252495,0.2766601920125644,0.12739810807426016,0.04688451118839824,4.936459222845656E-4,treated,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,0.8150068646315157,0.02404876849719015,0.04331383952011938,0.03164395289570311,0.311775342867399,0.15420136886643337,0.06135676204440652,0.01127348648164505,donor1,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,0.7930692628954501,0.026778664464597274,0.04560490700195229,0.03590518993759694,0.2944379916754489,0.1594866223558026,0.06741651568824687,0.004273799170361537,donor2,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,0.8249005800444532,0.021789361190278217,0.041220673096699065,0.02874523634829353,0.30146358663724093,0.14711940398666512,0.05752152533203558,0.0014468540093072976,donor3,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,0.7581741017584085,0.02776371147767147,0.04885198279191541,0.04105354487188478,0.2934074228384324,0.17244016727594413,0.07646024154913829,0.010612998560888313,donor4,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,0.644811925319166,0.03481588866151271,0.058100900621050514,0.059647684141009016,0.27152038017273383,0.2140042371757885,0.10825987883142713,0.008017593937803607,donor5,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,0.829511837475835,0.02220879581060831,0.04008227291134338,0.02865096912588564,0.29510942144967844,0.13554331043778808,0.053122299800983465,0.0024894967824424046,treated,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,0.7250652536985115,0.06982335217199125,0.07992234903081444,0.07394995170583464,0.3340240472049721,0.17522230951409482,0.08119433621050781,0.011321840417242393,donor1,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,0.7718753693657473,0.03529851026440414,0.054460554409529634,0.04561721130128658,0.31620099161231674,0.16999586028742897,0.0757464118483403,0.01105998755596632,donor2,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,0.5486322036565661,0.16066386356522278,0.15322355405830493,0.15341873304861628,0.34538660485303757,0.20179268312696408,0.10221404475369039,0.0032826570469767307,donor3,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,0.6217961650597368,0.11126634234531194,0.11602058934029699,0.11587385223375546,0.3299743442709905,0.21046721129227752,0.1045841161837599,0.011327430065061215,donor4,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,0.6878689054074816,0.031922130598978776,0.056585397445034984,0.053886228261375076,0.2879934459912832,0.20136329792024732,0.09717670559286619,0.015687961694704915,donor5,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
