system:index,NDVI,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,centroid_lat,centroid_lon,deforestation,geometry_name,mean_agri_proba,mean_elevation,mean_logging_proba,mean_slope,year,.geo
0,0.8425517055501286,0.01695378098362779,0.033689752274530395,0.022612916426053075,0.25996383304895954,0.12269545793939743,0.04492058072191161,-3.231847626502713,-49.38513022331142,9.420246998201041E-4,treated,89.82043433059953,76.45903689510094,64.69490008085943,3.5428618817225277,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.8364587855188714,0.017772428275124607,0.03483359277545122,0.0214073508335077,0.277183100822612,0.12798728227672554,0.04591530184325242,-2.8935099922786867,-50.337616225402066,2.539860875385461E-4,donor1.0,135.19371294328226,50.83437810497659,41.36898981989038,4.413342499248143,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.6630977591862558,0.039618138633283236,0.06261905392753941,0.06000716742452541,0.293587450784811,0.20978233070110996,0.10092313590355852,-4.40895144827864,-49.268634654712415,0.006152010063330994,donor2.0,214.53616368552412,102.836312838928,6.232984089018301,4.292646283111147,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.7653224600030885,0.025793229863857296,0.04967820821735074,0.040049022558557024,0.30106064447220726,0.16805867318863787,0.07218747068604421,-2.4287674817353313,-47.70549718503743,0.007462677293990101,donor3.0,182.5677583995558,41.96554319096385,13.171442171653734,4.279859145357057,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.6186394261959903,0.11383730991285845,0.11966572530428725,0.11618553286208579,0.3169959768381947,0.18768561197970857,0.08881079006943993,-3.98289958818087,-56.13791933330121,0.0140951296096439,donor4.0,210.81485119339953,128.47536960518175,8.36102263319629,9.419658694681313,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.6330810967040399,0.03876422606648204,0.06182567283706001,0.061461913338430964,0.2707272740864854,0.21852009932370142,0.10906253534866468,-8.491124723721084,-50.46449548701146,0.016059098552127254,donor5.0,187.44973036467513,224.98157699373107,15.137540712264407,2.514132934753607,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.7905176839870851,0.0371764264050908,0.052259517489788555,0.04160318245732237,0.31291691268546706,0.16362570686020295,0.06773122146979763,-3.9996444749558817,-54.56286043369872,0.015110943663258467,donor6.0,210.14501173053296,168.75457397265873,6.6304742486873,9.288530943573765,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.6702543585530746,0.04261597991009158,0.06814523456981715,0.06558375338925132,0.31513482106762253,0.21441291814391045,0.10227739076646869,-6.622497047931977,-49.32430091128283,0.001934578519395347,donor7.0,210.52113646429692,198.5059520089129,6.778169649448007,4.405332693336249,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.5573508187709711,0.04917103361557765,0.0773810015896389,0.08246279476677933,0.2833328160817429,0.24114900592125066,0.1254251322748639,-7.134943444889696,-49.87668064842646,0.00621947543188635,donor8.0,181.42720866624452,229.33807527364092,15.667820908392729,4.199560667801627,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.765611161046932,0.036661604672083105,0.054986960054774804,0.04539904567327486,0.3158708854835639,0.16511014378391264,0.0723818722853374,-5.7403367112819135,-51.127484996342886,0.06399462203285476,donor9.0,212.46225108103948,288.38084617065033,6.324941574889098,8.219491955238828,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.45878627773602515,0.19449109709059448,0.18981304850017006,0.19353098278722267,0.33114682787990074,0.22894003325139162,0.11810559984981593,-1.3712250807402067,-54.26286273003266,1.7945857348379938E-5,donor10.0,40.6834714111096,444.39354431248404,12.635664810539181,13.313654028522164,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.8106809417424284,0.025189102982215,0.04330704554464756,0.031597926939381626,0.2922829136381686,0.14589725520980196,0.05997507209798894,-3.0927653173041803,-48.70634712139713,0.013275548356548608,donor11.0,138.34022026928065,66.75880736748002,23.60982479860291,3.626033287200853,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.7698989951002819,0.022523455298682573,0.04148144396712637,0.03704761184526945,0.271127397623498,0.1578909261063701,0.06939316377983361,-4.076947894609463,-48.352439881975954,0.0028072898014404528,donor12.0,124.56772117514313,158.52349347025017,50.08207614191984,5.375663266591067,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.629337112073521,0.07259051009799283,0.08690067071004036,0.0849170829405188,0.3103997284588659,0.20140981152228238,0.09665955382059203,-5.026459291065852,-49.50435243257609,0.018412150445248177,donor13.0,220.3122451100087,129.9981130202153,5.124918824843494,9.0557527889584,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.5460408963002148,0.17236199937528102,0.16560470663638335,0.1658160160481815,0.333740773189571,0.2113962144812384,0.09650410191279972,-3.259719385162741,-53.7197107628731,0.0059346660116139874,donor14.0,108.9219879304225,197.84386360709803,62.74608448704296,5.033382682738534,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,-0.004904251541912083,0.22801237539767738,0.22992616062737556,0.24561185965410454,0.23146416633213587,0.18429013247447112,0.09982143302722038,-2.1708786034207828,-54.561545059373884,3.3580851715777867E-4,donor15.0,87.67722865073358,8.799911524078988,5.801665404996215,1.8524075459511968,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
