system:index,NDVI,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,deforestation,geometry_name,year,.geo
0,0.8425517055501286,0.01695378098362779,0.033689752274530395,0.022612916426053075,0.25996383304895954,0.12269545793939743,0.04492058072191161,9.420246998201041E-4,treated,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.8054004159085618,0.025455953798370328,0.042626586447270146,0.03228827261247506,0.27382730044033904,0.1338823669739698,0.05377889165106418,0.004869000717297265,donor1.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.7551545630034926,0.04129201818653188,0.061187581616235436,0.050000250559291845,0.33241579653266456,0.17090190510353556,0.07758138200125676,0.013503083406825957,donor2.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.8462732335622251,0.017275115902458817,0.03518664094272421,0.023318710308566564,0.282925454529183,0.132911283970899,0.04872696003122662,0.0026916409618664176,donor3.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.6397713156474977,0.03996871347804893,0.06418195553815018,0.06469620885454536,0.29363909206458316,0.21850202843394936,0.10885868254395069,0.0021627949378231867,donor4.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.23263132984425416,0.07106186996458881,0.08164165755297353,0.08001448489482467,0.16270152910375033,0.09389686219360333,0.05038571751160238,1.883700904176434E-4,donor5.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.8051530903343204,0.033141772493373356,0.05011422489388341,0.03934785771420247,0.30447690042032793,0.15238830342490717,0.06454469663566717,0.003669034452868304,donor6.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.760659654659843,0.04557678451484863,0.06259019552655523,0.05293005724125149,0.34226292710065764,0.1725417382334313,0.07752487629679074,0.002632158794252079,donor7.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.6834460783574771,0.05462411711140718,0.07027238865302327,0.06223510536349034,0.3055228105942869,0.15964323337647002,0.07805501358363948,0.008475640761451702,donor8.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.6530238611684012,0.07174061538435979,0.08082662381821346,0.07739205035661362,0.2905707454869611,0.1575186072594793,0.07835408846031733,0.004234697636778673,donor9.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.7487177933829428,0.043967238008595394,0.06064029676272532,0.05039884258977067,0.3186723871044164,0.15932190633609242,0.07234042328053532,0.006906731980415725,donor10.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.7080052977232971,0.035428894924533,0.061191919200344204,0.05547403308209523,0.3131806043452986,0.19967442872367153,0.09488761479682264,0.036626301850839045,donor11.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.7461953344357383,0.04729064895282008,0.06463657219550739,0.056191711638554485,0.318374330321586,0.17515654952788448,0.08033574334908625,0.017996116451147043,donor12.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.770158422010522,0.034503956356158716,0.05643721763533236,0.04384276898295001,0.331798542361899,0.1686106831208245,0.07349353492649932,0.015505801074234356,donor13.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.7599126020449549,0.022258878821960683,0.0413678996191946,0.033315070346871326,0.25244995857194874,0.13900678119202578,0.060163193398603085,0.0035094709494581625,donor14.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.6731557711803169,0.05673556375136506,0.07403989392794293,0.07072411771885224,0.293913590329401,0.17986848322370214,0.08701552307929572,0.007566866261498126,donor15.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.6728576980517308,0.03665434170905692,0.059902258926208166,0.05874418860282772,0.2988973358803761,0.21039876176276548,0.10223199848023995,0.0019230201931518878,donor16.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.691926487491555,0.0391016715836084,0.05699138727245922,0.049645850224383975,0.26097590483791705,0.14814515437191372,0.06801230007729157,0.001819895810982409,donor17.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.6973285312666178,0.03772703207569692,0.06353155674874372,0.058191390299265004,0.3145539947635422,0.20237716129562155,0.09697651803738158,0.018133206503029322,donor18.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.7809440617343414,0.038399721676684866,0.05308210025177199,0.042360698621787804,0.2913406997372718,0.1413061618158706,0.05704107229765434,6.517657470192181E-4,donor19.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.7662535772105514,0.026643443566835224,0.05193885872755007,0.04256800570722186,0.31667742069399724,0.18027796499421775,0.08041172463512292,0.011366601245844089,donor20.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.773274926922318,0.023869179891113822,0.04403933160231543,0.034596400217975797,0.2786719399594318,0.1502073978403521,0.062374128178453024,0.0019818346184450595,donor21.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.8087155710892001,0.024745446187114162,0.043054264591532554,0.03197139732262735,0.28809795163432184,0.14538248028619574,0.06016797213052843,0.003094604554095569,donor22.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.8448988481953487,0.017241229270682685,0.034245401090415455,0.02102200137328121,0.27572614632659453,0.1252658186438219,0.04459387238559269,5.974679309088084E-4,donor23.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.7268549376134208,0.02630819896266118,0.04774861666090319,0.04043455897951453,0.27130810685528967,0.15902496678274322,0.07024921134953988,0.002923807877751363,donor24.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.7498400157531333,0.04229675149786086,0.05920408113081065,0.048996558270789116,0.3156861761870891,0.15839843616360844,0.07181423334607782,0.007098193977423545,donor25.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.857956004775376,0.01667043066698653,0.033528561726735004,0.020988040188491618,0.27348380194072397,0.127985322748658,0.045380611816399484,1.1949751295801155E-5,donor26.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.8462854292911994,0.017084628520161182,0.03457987683699046,0.022813384867511787,0.2699764250276735,0.12506401995992342,0.04519423968154626,0.0024815246493444286,donor27.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.7402318639055526,0.029124670816258635,0.055661192175805695,0.047771445979745336,0.316453162945764,0.18907688354893365,0.08708508743376997,0.011554129127096345,donor28.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.7123067482637631,0.037204436331583,0.06241354075495988,0.056192529115102405,0.3146686356852581,0.1916099726439185,0.09077637083824527,0.013922253833122,donor29.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.8519062990052461,0.016594871251255874,0.03409634825500644,0.02192769599229803,0.28234455812498366,0.12934392262922484,0.04631674527699089,0.002796328630554444,donor30.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.7888170540845458,0.026613601947082104,0.04373440025723419,0.03274787028354984,0.2730481311017493,0.12817619146675138,0.05189777406977539,0.017096357843459604,donor31.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.7883950919801934,0.02764298828834009,0.04959325977067549,0.03850378602082537,0.3167329302590434,0.16464214751717016,0.071563658222158,0.014882207871565037,donor32.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.8532603315847453,0.017247734869670416,0.034916611034871876,0.022380773200586117,0.27798304953753683,0.12990963368773262,0.04709566483940287,9.88803517870159E-4,donor33.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.8212926996240617,0.019149378020106158,0.03914436220189859,0.02706386738054598,0.2808158573140988,0.14086260117124852,0.053301168722668914,7.557720973721236E-4,donor34.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.7582914519640972,0.026274411817109614,0.045528763656847666,0.036105913868606586,0.2797669394680814,0.14275091501888967,0.060024788422804246,0.009552335795273132,donor35.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0.8516489797132543,0.017520985578866947,0.03539267046868406,0.021781406032627723,0.2739283575195666,0.12888516695420216,0.04575157759335363,2.6352087667558277E-4,donor36.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0.8024729215819161,0.02183315721303342,0.0432832501934779,0.03330480301737235,0.29466809416195644,0.15467000947045392,0.06359452658228436,0.004243334334199892,donor37.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0.8302611508225687,0.018958330038407755,0.037307280803058174,0.02425140174834875,0.27130878671524283,0.12995549190867178,0.04757601087579943,0.0013393764724172158,donor38.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0.8524185667390827,0.017589845502047546,0.03474187011812354,0.021988996742042043,0.2738177305274903,0.1295608380042293,0.04615688564184007,0.0,donor39.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0.8480846068589205,0.019586855636585257,0.037692178725929094,0.024013933809810914,0.284745074367398,0.1336696206953171,0.04883214436119963,2.301530368244859E-4,donor40.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0.7252238769342086,0.04424134089964963,0.06077705019508163,0.052033880387628344,0.2786023733225788,0.14088403290128723,0.06272913738600734,0.0032793564394888687,donor41.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0.7097922392100308,0.04015879952447896,0.0638962275087139,0.057582778226315114,0.31640470944130183,0.19890078588279075,0.09648555915277807,0.044698542615734,donor42.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0.5795359129506645,0.05038379620630615,0.06589683562848,0.05960790618955482,0.2457277959683296,0.13677326332435444,0.0641632817115676,0.0022364207700104346,donor43.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0.8015793347818359,0.023503905793607695,0.04526019762881966,0.03445014904112722,0.30345697836945995,0.15493808721219868,0.06422135135626279,0.010452550494124116,donor44.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0.8039178655607472,0.020739224440952577,0.0423107021461807,0.031692311705922876,0.2876017046152037,0.15192575058164381,0.06032573477287498,0.0019455685449883077,donor45.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0.7786940819473218,0.02652721612979958,0.04475999135955645,0.035917285525540806,0.273656874765425,0.13532565367997618,0.055491112274867915,0.004568300393839608,donor46.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,0.7815985551286021,0.02464434033031515,0.045795454116062236,0.03551795302922589,0.2888707693500891,0.15436848838221573,0.06419937513554906,0.003720871945024584,donor47.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0.8050553007563958,0.02723139808073339,0.04658481350020121,0.03375859373478906,0.3082382223293714,0.14744170725618938,0.061423073212968166,0.013476330341305041,donor48.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0.8518602884360524,0.017107785717595175,0.034921111850984884,0.02269940144375087,0.27859798490987375,0.1326150201988769,0.04834523620723374,7.49788655189822E-4,donor49.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0.7465056863013324,0.024256425302466498,0.04582986345561607,0.037510968470701095,0.2697110868330221,0.1539751350322817,0.06802503419495484,0.006703138060219589,donor50.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0.8011406666826931,0.029682254042981856,0.050543092527381234,0.03768125003503341,0.32988980668100737,0.16473131286227793,0.0702255213175707,0.02420970253929413,donor51.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0.5395875558184395,0.06897513302238757,0.08579745667604599,0.0823244266033276,0.2614416750689136,0.1799861015055596,0.10180018483303539,0.0013454483482379111,donor52.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0.7798316344336463,0.033081519202342397,0.053376529865593915,0.04124149849106189,0.32712053898098736,0.16178689760505685,0.07072107211924844,0.026078923766816135,donor53.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0.8619084515374957,0.01651588135984477,0.03352837903412252,0.020553865221390643,0.2761999501885841,0.1268560380127051,0.044649150455026376,0.0,donor54.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,0.8323699301637133,0.02067008632018348,0.03864179744790419,0.026006866215005184,0.27692113983232086,0.13415879959187724,0.04994535303937716,9.873987884593304E-4,donor55.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,0.8481411818622622,0.01866979765779425,0.036875854541528495,0.02389718816765145,0.2843849721386493,0.13534714394631875,0.05015641099196764,1.4643082338948506E-4,donor56.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,0.8534025651982922,0.017850556353907553,0.034768749769572276,0.021309922542191766,0.2810981680149821,0.12976638193266302,0.04670633932347317,1.1354570363973742E-4,donor57.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,0.7780889294177797,0.02504894770837483,0.04406057891289851,0.035214539786611626,0.27337505779610993,0.13696713183248957,0.05598781841364988,0.0034900780785446853,donor58.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,0.7660209502390993,0.0439176158817551,0.060856993534819735,0.051332392643705683,0.32230568896523226,0.1672143431062288,0.07377001568867711,0.0037353346134943893,donor59.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,0.7335322498931398,0.0447303074724365,0.0616981916472952,0.05236052763578012,0.2938913140086491,0.139808326266241,0.060050847439894126,0.001769589522159589,donor60.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,0.6852939718959519,0.04777101282152317,0.06318793984479458,0.054589426890166284,0.27049240511366046,0.1315136897095891,0.06401142888765693,0.004036971634705169,donor61.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,0.8529048148419974,0.018916866985386853,0.036803294006159275,0.02290341218149608,0.2876002032312456,0.1331086086011552,0.04861219362547085,1.3451949635900562E-4,donor62.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,0.8444506071049525,0.020369583359573958,0.03759576844824865,0.02458463004357652,0.27823655949020093,0.12975248926453195,0.047919329448907366,4.1836627967785794E-5,donor63.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,0.7932240157153444,0.03598331924079885,0.05107568567457187,0.039706525606030434,0.291746212512267,0.14015867231720736,0.05573215940442616,3.113076215559601E-4,donor64.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,0.8471809395078375,0.01655703171862707,0.03314362237342231,0.0215993175936462,0.2595715143082992,0.12045436995789442,0.04308967948887782,0.0011330684023791765,donor65.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,0.5711933411942607,0.060073597738408625,0.07710201864696782,0.07396805374075754,0.2561749842094894,0.17469442273517932,0.09544088833309562,0.002732567178101195,donor66.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,0.7641944567862738,0.034231006284595564,0.05270241388714878,0.043142942641972486,0.29668944445057055,0.15782968846734696,0.06954830591700965,0.010734202912453455,donor67.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,0.8336557283750038,0.01951832677783779,0.03839656569321576,0.02595945753497215,0.28264167392232115,0.13837309135659764,0.05194214883675276,1.613399582308775E-4,donor68.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,0.7567586648251083,0.03581614942107438,0.054681067602467236,0.044876693843738685,0.3110878671473516,0.15902046185318122,0.07224950365074306,0.016784143489615024,donor69.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
