"system.index","B1","B2","B3","B4","B5","B7","B8","NDVI","date","gain","loss","lossyear","treecover2000",".geo","time","treatment","new_index","yearly_loss"
"11_0",0.106570475,0.085882045,0.060648102,0.27342692,0.12881713,0.04813052,0.15693983,0.63691926,"2001-01-01",0,1,15,91,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.88564402532128,-2.1321064110934786]}",2001,"0","11_0_treated",0
"11_0",0.08630558,0.06618988,0.040372513,0.25219524,0.11860935,0.03890096,0.14039528,0.72401255,"2002-01-01",0,1,15,91,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.88564402532128,-2.1321064110934786]}",2002,"0","11_0_treated",0
"11_0",0.08149378,0.059206046,0.034565482,0.18182534,0.079746984,0.027096085,0.09884563,0.68052727,"2003-01-01",0,1,15,91,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.88564402532128,-2.1321064110934786]}",2003,"0","11_0_treated",0
"11_0",0.09188241,0.077641204,0.059683174,0.23444277,0.178311,0.0800622,0.1279761,0.59416586,"2004-01-01",0,1,15,91,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.88564402532128,-2.1321064110934786]}",2004,"0","11_0_treated",0
"11_0",0.1333872,0.119432226,0.102688365,0.31976485,0.21230207,0.112625316,0.20167279,0.5138474,"2005-01-01",0,1,15,91,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.88564402532128,-2.1321064110934786]}",2005,"0","11_0_treated",0
"11_0",0.15474251,0.14598957,0.11770649,0.3795436,0.25109127,0.14170912,0.26749074,0.52657026,"2006-01-01",0,1,15,91,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.88564402532128,-2.1321064110934786]}",2006,"0","11_0_treated",0
"11_0",0.12305466,0.103777684,0.07906954,0.34677702,0.17440629,0.08066676,0.21262121,0.62864774,"2007-01-01",0,1,15,91,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.88564402532128,-2.1321064110934786]}",2007,"0","11_0_treated",0
"11_0",0.0872548,0.07611709,0.047936283,0.30289376,0.15912847,0.05769996,0.17230546,0.7267265,"2008-01-01",0,1,15,91,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.88564402532128,-2.1321064110934786]}",2008,"0","11_0_treated",0
"11_0",0.09965333,0.08566529,0.0554517,0.2905645,0.14847277,0.05641604,0.15203439,0.67948496,"2009-01-01",0,1,15,91,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.88564402532128,-2.1321064110934786]}",2009,"0","11_0_treated",0
"11_0",0.106116846,0.08999827,0.06142442,0.2961807,0.16699913,0.06103261,0.17317615,0.6564679,"2010-01-01",0,1,15,91,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.88564402532128,-2.1321064110934786]}",2010,"0","11_0_treated",0
"11_0",0.09364469,0.08181875,0.049802497,0.32254702,0.16021624,0.055593975,0.17700063,0.73249596,"2011-01-01",0,1,15,91,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.88564402532128,-2.1321064110934786]}",2011,"0","11_0_treated",0
"11_0",0.17445695,0.15269974,0.14576195,0.27896544,0.2105253,0.14202496,0.22278364,0.31362113,"2012-01-01",0,1,15,91,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.88564402532128,-2.1321064110934786]}",2012,"1","11_0_treated",0
"11_0",0.0910263,0.07302033,0.04703961,0.328549,0.14877932,0.04841843,0.16952062,0.74951524,"2014-01-01",0,1,15,91,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.88564402532128,-2.1321064110934786]}",2014,"1","11_0_treated",0
"11_0",0.09037225,0.0741843,0.048605915,0.29271954,0.14480855,0.04872352,0.15537463,0.71519315,"2015-01-01",0,1,15,91,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.88564402532128,-2.1321064110934786]}",2015,"1","11_0_treated",1
"15_0",0.10902834,0.089497276,0.06415139,0.30817834,0.14336409,0.051794223,0.17934541,0.65540546,"2001-01-01",0,1,21,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.84117741875736,-2.1148587576383835]}",2001,"0","15_0_treated",0
"15_0",0.08606094,0.06748376,0.040059354,0.30295426,0.13876806,0.043564335,0.15525667,0.76642704,"2002-01-01",0,1,21,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.84117741875736,-2.1148587576383835]}",2002,"0","15_0_treated",0
"15_0",0.094566666,0.07705355,0.050605737,0.30066526,0.14142169,0.05282674,0.16366087,0.7118707,"2003-01-01",0,1,21,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.84117741875736,-2.1148587576383835]}",2003,"0","15_0_treated",0
