system:index,B1,B2,B3,B4,B5,B7,B8,NDVI,date,gain,loss,lossyear,treecover2000,.geo
1_0,0.10185358,0.09007601,0.065241605,0.308724,0.18685578,0.08654901,0.17788391,0.65108234,2001-01-01,0,1,11,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.542307923730796,-2.052605508448901]}"
5_0,0.09641216,0.07775489,0.054334503,0.28112972,0.12808113,0.049826656,0.1579205,0.6760638,2001-01-01,0,1,21,86,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.418070919937065,-1.8459031615729988]}"
9_0,0.09035656,0.0719741,0.04291631,0.2981659,0.13288136,0.04482812,0.16052343,0.7483521,2001-01-01,0,1,2,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.50107525218971,-2.077129515705364]}"
16_0,0.10133247,0.08955982,0.069604926,0.2867865,0.15343662,0.06492166,0.16722693,0.60939056,2001-01-01,0,1,19,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.55605214757782,-2.093838179989987]}"
22_0,0.09104937,0.07046872,0.045265313,0.26328298,0.113211155,0.038612418,0.14471446,0.7065917,2001-01-01,0,1,19,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.31727994505885,-2.1189011764169217]}"
24_0,0.09144666,0.082337,0.050051287,0.30321926,0.14722793,0.049833875,0.16755438,0.7166405,2001-01-01,0,1,23,98,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.32374781510451,-1.8477896236696498]}"
25_0,0.095060125,0.08144342,0.05156767,0.31780666,0.15255323,0.055561915,0.17403837,0.7207837,2001-01-01,0,1,21,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.42992868168744,-1.8547964828857821]}"
32_0,0.10169333,0.08807103,0.06398819,0.31582338,0.15610632,0.06436323,0.16976975,0.663053,2001-01-01,0,1,13,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.332910631002534,-1.8952206706711607]}"
40_0,0.100950405,0.07967651,0.055006832,0.27926284,0.123416215,0.048522864,0.15556855,0.6708835,2001-01-01,0,1,7,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.459573086063386,-2.0493715734260705]}"
47_0,0.091863304,0.08111027,0.051701307,0.3083102,0.14996934,0.050997972,0.17004478,0.7127797,2001-01-01,0,1,4,99,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.3612075624523,-1.8755475659489431]}"
48_0,0.09291286,0.07273382,0.049915716,0.25467896,0.14230387,0.06860917,0.14745751,0.6722483,2001-01-01,0,1,16,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.353661714065694,-1.8310809593850268]}"
51_0,0.09100931,0.072975755,0.044807203,0.29474777,0.12825462,0.04282365,0.16005059,0.7360828,2001-01-01,0,1,13,94,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.37360431337315,-1.8356623673340364]}"
54_0,0.12655087,0.108150706,0.08598419,0.33008546,0.16750458,0.08273765,0.1995987,0.58668363,2001-01-01,0,1,15,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.23697055865857,-2.1663322234184323]}"
57_0,0.090451464,0.07019585,0.04613649,0.2529239,0.1200019,0.043608557,0.13300493,0.69145703,2001-01-01,0,1,6,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.48274962039367,-1.8316199485554985]}"
58_0,0.09283196,0.073973134,0.05016444,0.28162447,0.12488738,0.044003382,0.15449521,0.69761235,2001-01-01,0,1,6,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.293833916143335,-2.1622898046398946]}"
61_0,0.1492408,0.13759616,0.11432094,0.36595127,0.2074404,0.09795838,0.22895026,0.52393275,2001-01-01,0,1,20,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.2364315694881,-1.7666717535136571]}"
64_0,0.14880915,0.13455315,0.11500799,0.3485288,0.19236526,0.09310388,0.2175004,0.50378054,2001-01-01,0,1,13,95,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.42238283330084,-1.7761040639969121]}"
65_0,0.09896799,0.08532995,0.05650761,0.313488,0.14584517,0.05343208,0.1760635,0.69454986,2001-01-01,0,1,17,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.301918753700406,-1.8647677825395088]}"
71_0,0.089596435,0.068786696,0.043301366,0.30734837,0.13746601,0.04589031,0.16409181,0.75302213,2001-01-01,0,1,23,99,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.29275593780239,-1.8224571326574794]}"
74_0,0.11679279,0.10160432,0.07723189,0.33035767,0.1660638,0.07709125,0.18924996,0.62103105,2001-01-01,0,1,17,90,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.30838662374607,-2.1097383605189024]}"
76_0,0.092585266,0.07644243,0.048884135,0.29807281,0.15409702,0.05235878,0.15668102,0.7182121,2001-01-01,0,1,17,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.35473969240664,-1.8450946778172914]}"
78_0,0.09063281,0.07227176,0.046014395,0.3123913,0.1391756,0.04715188,0.17042696,0.7432273,2001-01-01,0,1,18,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.442864421778765,-1.7270560494839862]}"
79_0,0.17400247,0.17518142,0.15095061,0.3816309,0.23770684,0.1270464,0.28105006,0.4331361,2001-01-01,0,1,13,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.271196370983525,-2.150162548304281]}"
82_0,0.09326427,0.08061203,0.0524024,0.31288248,0.15266638,0.05339256,0.1750619,0.7130875,2001-01-01,0,1,18,98,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.42534727373843,-1.8507540641072444]}"
85_0,0.10010664,0.08324855,0.057944387,0.33452937,0.15940833,0.061854444,0.18095903,0.7047222,2001-01-01,0,1,14,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.48463608249032,-1.798741609156724]}"
89_0,0.09512131,0.07721986,0.05041347,0.30790657,0.1438103,0.051070966,0.17359681,0.7186121,2001-01-01,0,1,17,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.30650016164942,-1.894412186915453]}"
94_0,0.12075872,0.10898407,0.0865858,0.30778787,0.18217346,0.08715675,0.1773544,0.5608946,2001-01-01,0,1,10,99,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.39192994516919,-1.8423997319649328]}"
98_0,0.091201656,0.0727216,0.04620652,0.32526684,0.14201403,0.04406447,0.17347455,0.75122565,2001-01-01,0,1,13,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.51185503559914,-1.8310809593850268]}"
102_0,0.11684333,0.10821839,0.08444522,0.29662344,0.18365154,0.089441516,0.18828563,0.55679786,2001-01-01,0,1,17,96,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.38115016175975,-1.8666542446361598]}"
104_0,0.0921326,0.07480453,0.047435403,0.31611404,0.13604034,0.04736466,0.16605344,0.7390429,2001-01-01,0,1,20,99,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.35959059494088,-2.099228071694704]}"
105_0,0.15798205,0.1466918,0.1344372,0.32584056,0.22848809,0.13634574,0.2205451,0.41584316,2001-01-01,0,1,1,99,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.421843844130365,-1.8440166994763478]}"
107_0,0.09235944,0.07303316,0.047678202,0.30885753,0.13804902,0.046927195,0.17761794,0.7325474,2001-01-01,0,1,3,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.235892580317625,-2.1474676024519224]}"
110_0,0.09263471,0.07368364,0.04696496,0.26205266,0.12356203,0.040266037,0.1526035,0.696037,2001-01-01,0,1,14,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.50134474677494,-1.900071573205406]}"
111_0,0.092913546,0.07618911,0.05316749,0.2553509,0.12326153,0.046475906,0.15339153,0.6553367,2001-01-01,0,1,19,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.30730864540513,-2.0932991908195153]}"
115_0,0.115143314,0.098229356,0.07523115,0.28227958,0.14991277,0.07007021,0.17179333,0.57913905,2001-01-01,0,1,21,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.22053138895918,-1.7437647137686092]}"
116_0,0.122246355,0.10562487,0.09366396,0.2885516,0.20785704,0.109892614,0.1819056,0.50988936,2001-01-01,0,1,11,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.54284691290127,-2.106773920081308]}"
117_0,0.092541255,0.0706953,0.046106506,0.2547464,0.11562857,0.042466655,0.14673053,0.6934947,2001-01-01,0,1,13,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.35204474655428,-1.8167977463675264]}"
119_0,0.096216425,0.07634626,0.050299272,0.30988201,0.14114133,0.05008615,0.16863716,0.72070026,2001-01-01,0,1,10,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.40648265277192,-1.7844583961392235]}"
120_0,0.113052845,0.10230128,0.074341625,0.33724505,0.18159692,0.08145032,0.20196626,0.6387559,2001-01-01,0,1,16,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.23670106407333,-2.1507015374747525]}"
124_0,0.11022643,0.096403666,0.07081187,0.346716,0.17327228,0.06426334,0.19121581,0.6608041,2001-01-01,0,1,16,96,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.43397110046598,-1.8499455803515368]}"
130_0,0.112736225,0.09593987,0.07222118,0.33463633,0.16457872,0.06985362,0.19707948,0.6449805,2001-01-01,0,1,22,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.21056008930545,-2.098689082524232]}"
134_0,0.11671382,0.102380976,0.077163056,0.3470952,0.16709456,0.07568157,0.19787347,0.6362449,2001-01-01,0,1,18,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.42292182247131,-1.8008975658386108]}"
147_0,0.106625706,0.08866941,0.066275544,0.31444257,0.15668689,0.070478976,0.18260087,0.6518393,2001-01-01,0,1,15,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.23454510739145,-1.8248825839246021]}"
150_0,0.09086111,0.078215785,0.050132357,0.32698953,0.15178718,0.047330484,0.16997117,0.7341318,2001-01-01,0,1,14,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.47008337488759,-1.7928127282815352]}"
155_0,0.09343921,0.07215082,0.04860328,0.2482245,0.11807899,0.04275354,0.13705638,0.6725153,2001-01-01,0,1,8,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.51724492730386,-2.078476988631543]}"
156_0,0.09411229,0.09040037,0.061695065,0.32731345,0.17961743,0.06529937,0.18679154,0.68280864,2001-01-01,0,1,13,86,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.363902508304655,-1.8591083962495558]}"
158_0,0.11010279,0.09227504,0.070025824,0.3135818,0.15859802,0.064748175,0.18598299,0.6349091,2001-01-01,0,1,16,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.49299041463263,-1.8742000930227638]}"
160_0,0.09516393,0.083728895,0.05394763,0.29951572,0.150703,0.053686883,0.16865939,0.6947484,2001-01-01,0,1,13,96,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.45391369977343,-1.8661152554656881]}"
162_0,0.09495876,0.08205675,0.053746868,0.33226904,0.15506709,0.054626375,0.18155931,0.7215303,2001-01-01,0,1,19,95,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.291947454046685,-1.8887528006255]}"
170_0,0.12172282,0.10740667,0.084822215,0.32994422,0.18727289,0.09224709,0.19574869,0.59098804,2001-01-01,0,1,17,60,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.22511279690819,-1.8798594793127168]}"
