"weights","geometry_name"
6.07717345197912e-10,"donor1.0"
4.91633754321884e-10,"donor10.0"
6.64931090847971e-10,"donor100.0"
7.30040999374057e-10,"donor11.0"
4.21441832032244e-10,"donor12.0"
5.82493558831034e-10,"donor13.0"
-1.38142967372394e-10,"donor14.0"
8.88046145630977e-10,"donor15.0"
9.60897866914727e-10,"donor16.0"
4.5869682466847e-11,"donor17.0"
7.64705765303127e-10,"donor18.0"
1.21473908872566e-09,"donor19.0"
6.2134951954563e-10,"donor2.0"
5.23996320120004e-10,"donor20.0"
4.97892528491467e-10,"donor21.0"
-2.2588649788604e-10,"donor22.0"
0.0162355885697567,"donor23.0"
6.31844057756456e-10,"donor24.0"
5.51808170783453e-10,"donor25.0"
1.61556452659005e-10,"donor26.0"
1.32530843518335e-10,"donor27.0"
7.29850914460741e-10,"donor28.0"
5.49670621934674e-10,"donor29.0"
1.66902610376657e-11,"donor3.0"
1.46261563945242e-10,"donor30.0"
-2.1822222320729e-10,"donor31.0"
3.05232435195221e-10,"donor32.0"
1.65672696565229e-10,"donor33.0"
1.55185762474582e-10,"donor34.0"
9.65226801676594e-10,"donor35.0"
7.89210441700727e-10,"donor36.0"
1.67406525778293e-10,"donor37.0"
6.41716750906832e-10,"donor38.0"
0.368372600056794,"donor39.0"
9.86761360562456e-10,"donor4.0"
1.83008181161808e-09,"donor40.0"
0.0105435451578927,"donor41.0"
6.6141470305963e-10,"donor42.0"
0.0885481931800865,"donor43.0"
6.83745210171018e-10,"donor44.0"
6.02027200734774e-10,"donor45.0"
6.04524205973534e-10,"donor46.0"
5.54982879505799e-10,"donor47.0"
1.35363019272365e-10,"donor48.0"
3.51559360055143e-10,"donor49.0"
1.39885445167725e-10,"donor50.0"
7.64057104277274e-10,"donor51.0"
1.42650083255365e-10,"donor52.0"
3.25838538923427e-10,"donor53.0"
0.235703393781805,"donor54.0"
7.93315537638302e-10,"donor55.0"
1.86870174375208e-09,"donor56.0"
1.13804421314512e-09,"donor57.0"
5.78753407430308e-10,"donor58.0"
4.54316569146741e-10,"donor59.0"
2.25023831343428e-10,"donor6.0"
5.28298711887465e-11,"donor61.0"
1.59208602892089e-09,"donor62.0"
1.36021441453837e-09,"donor63.0"
1.28417824191793e-09,"donor64.0"
6.34450662467636e-11,"donor65.0"
6.44821863067911e-10,"donor66.0"
1.14358993476977e-09,"donor67.0"
9.23535495163302e-10,"donor68.0"
4.19507100566756e-10,"donor69.0"
3.04086484277677e-10,"donor7.0"
1.28563779997818e-10,"donor70.0"
0.268616578677935,"donor71.0"
6.51288048989862e-10,"donor72.0"
7.40601093371635e-10,"donor73.0"
1.22013885241652e-09,"donor74.0"
6.48269469641308e-10,"donor75.0"
6.92430629542357e-10,"donor76.0"
1.13157167209709e-09,"donor77.0"
-2.65423134391198e-11,"donor78.0"
3.93149167712243e-10,"donor79.0"
6.67277571112405e-10,"donor8.0"
1.33900396240361e-10,"donor80.0"
1.55661091648151e-09,"donor81.0"
3.61687648560139e-10,"donor82.0"
2.79808621378112e-10,"donor83.0"
1.90607521203872e-09,"donor84.0"
7.86839774212763e-10,"donor85.0"
1.55313130591847e-09,"donor86.0"
1.3575168220506e-09,"donor87.0"
1.6045707888085e-10,"donor88.0"
3.49463188915891e-10,"donor89.0"
4.41170941749176e-10,"donor9.0"
6.07817537242257e-10,"donor90.0"
8.92594171229366e-11,"donor91.0"
2.32318212121232e-10,"donor92.0"
7.22170123394822e-10,"donor93.0"
0.011980043679107,"donor94.0"
1.18034488862096e-09,"donor95.0"
1.29660455089279e-09,"donor96.0"
6.79045567449574e-10,"donor97.0"
8.95854245401971e-10,"donor98.0"
8.86225204623971e-10,"donor99.0"
