system:index,B1,B2,B3,B4,B5,B7,B8,NDVI,date,gain,loss,lossyear,treecover2000,.geo
6_0,0.08319098,0.06552013,0.04131202,0.26376137,0.111199975,0.04656505,0.15709487,0.7291667,2005-01-01,0,1,21,96,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.83309258120028,-2.1622898046398946]}"
7_0,0.09854542,0.08517039,0.07299561,0.21973768,0.19441801,0.086387105,0.14166932,0.50128245,2005-01-01,0,1,23,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.81153301438141,-1.9744520787305024]}"
11_0,0.1333872,0.119432226,0.102688365,0.31976485,0.21230207,0.112625316,0.20167279,0.5138474,2005-01-01,0,1,15,91,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.88564402532128,-2.1321064110934786]}"
15_0,0.089392886,0.06948295,0.041217994,0.29742497,0.13433623,0.042382933,0.15968493,0.7565696,2005-01-01,0,1,21,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.84117741875736,-2.1148587576383835]}"
17_0,0.08936238,0.06573612,0.042716645,0.20190609,0.099420354,0.03543471,0.112611994,0.6507549,2005-01-01,0,1,8,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.72340828500929,-1.9612468440539454]}"
19_0,0.104265,0.08335221,0.06578957,0.224024,0.14960912,0.074439235,0.13245673,0.54598695,2005-01-01,0,1,5,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.79132092048872,-2.115667241394091]}"
22_0,0.08869192,0.06790796,0.0413892,0.23021223,0.09652955,0.03122867,0.13058057,0.695221,2005-01-01,0,1,9,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.827163700325094,-2.069314172733524]}"
23_0,0.104238935,0.0992027,0.073905654,0.31269845,0.18938105,0.07532305,0.18587774,0.6176675,2005-01-01,0,1,2,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.827163700325094,-2.0191881798796545]}"
35_0,0.11175472,0.097304076,0.07287833,0.33468056,0.15627845,0.06803184,0.17247587,0.64236665,2005-01-01,0,1,14,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.721521822912635,-1.9404957609907845]}"
36_0,0.09258676,0.077982426,0.04981375,0.31093478,0.14468628,0.048966564,0.16794138,0.7238312,2005-01-01,0,1,7,96,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.83686550539358,-2.0267340282662585]}"
37_0,0.101335205,0.09205805,0.060868748,0.3537072,0.16385834,0.05808264,0.19424954,0.7063566,2005-01-01,0,1,19,89,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.81153301438141,-2.1207876385135727]}"
44_0,0.1194329,0.110251054,0.08564834,0.35015976,0.19092567,0.0858663,0.19526152,0.6069447,2005-01-01,0,1,16,93,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.83659601080835,-2.057995400153618]}"
52_0,0.13646203,0.123809226,0.10450201,0.35342687,0.20477524,0.10182153,0.21189018,0.54358846,2005-01-01,0,1,2,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.777846191226935,-1.9485805985478601]}"
54_0,0.09250122,0.08295116,0.051902622,0.35390317,0.17467731,0.06185565,0.1872435,0.7441997,2005-01-01,0,1,11,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.88591351990651,-2.1264470248035257]}"
55_0,0.102755845,0.09744902,0.070142984,0.35163233,0.17716469,0.06805866,0.19781588,0.6673917,2005-01-01,0,1,9,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.808838068529056,-2.0838668803362603]}"
56_0,0.08623485,0.08984635,0.06523992,0.28273597,0.12590703,0.043991894,0.16345839,0.62503195,2005-01-01,0,1,7,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.808838068529056,-2.0499105625965424]}"
58_0,0.11138199,0.1021651,0.08792127,0.28377917,0.22228973,0.10942341,0.17883432,0.5269241,2005-01-01,0,1,10,65,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.86758788811047,-2.0906042449671567]}"
59_0,0.11381977,0.09986182,0.08010749,0.28737894,0.19599147,0.09705843,0.18022141,0.5640248,2005-01-01,0,1,9,99,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.786200523369246,-2.0043659776916827]}"
64_0,0.10552984,0.09110789,0.0765727,0.249694,0.2009182,0.09460847,0.14858986,0.5306128,2005-01-01,0,1,22,61,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.80991604687,-2.081710923654373]}"
66_0,0.098307915,0.0780737,0.05280218,0.27318963,0.12836337,0.04672786,0.15626863,0.6760521,2005-01-01,0,1,10,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.83120611910363,-2.0024795155950317]}"
71_0,0.13215742,0.12165475,0.1077367,0.30566952,0.23370461,0.12345454,0.19707075,0.4787853,2005-01-01,0,1,16,93,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.79078193131825,-2.0994975662799398]}"
74_0,0.1042867,0.090041205,0.06340171,0.34508544,0.16773379,0.06298578,0.19128466,0.68957794,2005-01-01,0,1,17,98,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.77056983742556,-1.990352259259418]}"
78_0,0.10447582,0.08896737,0.06268416,0.28344417,0.15505616,0.062835135,0.16585186,0.63779813,2005-01-01,0,1,17,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.84737579421778,-2.0962636312571097]}"
79_0,0.09021093,0.072396114,0.046955604,0.27748755,0.13064072,0.045491107,0.15897642,0.7105465,2005-01-01,0,1,1,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.864084458502404,-2.102462006717534]}"
82_0,0.09938551,0.081604585,0.057886466,0.2956267,0.14917955,0.056615245,0.16312571,0.67250746,2005-01-01,1,1,3,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.77622922371552,-2.088178793700034]}"
83_0,0.1355958,0.120275475,0.10092219,0.3213566,0.1792929,0.091781475,0.2078796,0.5220116,2005-01-01,0,1,17,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.78700900712495,-2.0216136311467774]}"
85_0,0.10383988,0.0896398,0.05965406,0.31297746,0.15347566,0.05672308,0.1769483,0.6798228,2005-01-01,0,1,13,88,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.84090792417212,-2.135070851531073]}"
87_0,0.09949701,0.0850571,0.0582222,0.30624345,0.15411432,0.060389016,0.17325702,0.6805065,2005-01-01,0,1,18,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.83012814076269,-2.0830583965805527]}"
88_0,0.1098338,0.10024337,0.08211926,0.264134,0.18525437,0.08552388,0.17061843,0.52566934,2005-01-01,0,1,3,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.84629781587684,-2.054222475960316]}"
93_0,0.10493026,0.08923771,0.06544242,0.2998614,0.1520552,0.05831727,0.17533314,0.6417096,2005-01-01,0,1,6,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.83066712993316,-1.997898107646022]}"
