"treated_point","ATT","Pre.RMSE","Post.RMSE","Ratio.Post.Pre","order","rank"
"donor113.0",0.00983736871305552,0.000388687707367829,0.0146043202840375,37.5734040650194,1,0.00854700854700855
"donor30.0",0.126149379810789,0.0131275222346951,0.369893596134729,28.1769544565788,2,0.0170940170940171
"donor45.0",0.016398575963,0.0013489658111898,0.0216607047323354,16.0572673915512,3,0.0256410256410256
"donor40.0",0.0143251603736741,0.00432772740704403,0.0504791286394697,11.6641192689972,4,0.0341880341880342
"donor63.0",0.0352873911105111,0.00816432910941862,0.0924131057617643,11.3191303931089,5,0.0427350427350427
"donor101.0",0.00799810017944448,0.00420306557175823,0.0328400279242487,7.81335131788367,6,0.0512820512820513
"donor98.0",-0.0125654919164429,0.00319358186537571,0.0217884265940034,6.8225671088097,7,0.0598290598290598
"donor71.0",0.00424626930675433,0.000903914570923918,0.00572625996268932,6.33495702678666,8,0.0683760683760684
"donor129.0",0.0193577127044306,0.0065575576949478,0.0412432586439075,6.28942367913636,9,0.0769230769230769
"treated",0.00110934592143443,0.000714580627109847,0.00427018257504591,5.97578833380475,10,0.0854700854700855
"donor105.0",0.0199682131764249,0.00684773405307807,0.0393491975374759,5.7463092509833,11,0.094017094017094
"donor118.0",-0.00523729446683252,0.00154569703395535,0.00848758016176367,5.49110205642592,12,0.102564102564103
"donor22.0",-0.0108262064745437,0.00308776176320275,0.0159696489836647,5.17191746266731,13,0.111111111111111
"donor37.0",-0.0115108883398738,0.003165461042626,0.014061157503756,4.442056722357,14,0.11965811965812
"donor74.0",-0.00618340157340229,0.00274866815050566,0.0120953183588301,4.40042875186844,15,0.128205128205128
"donor102.0",0.00698317928551185,0.00222799999334674,0.00917680960009455,4.11885530857198,16,0.136752136752137
"donor116.0",0.00569408837637518,0.00299914639536647,0.0118924374215082,3.96527406594136,17,0.145299145299145
"donor85.0",-0.0127391183182869,0.0060684927314487,0.0240588960733591,3.96455876904637,18,0.153846153846154
"donor130.0",-0.00608857737428583,0.00238178716548338,0.00919923228927744,3.86232339421078,19,0.162393162393162
"donor29.0",-0.00898741736415224,0.00355780015439474,0.0129798029322836,3.64826644808882,20,0.170940170940171
"donor97.0",-0.00733416339283594,0.00385217179959063,0.0135771511771399,3.52454456433712,21,0.17948717948718
"donor70.0",0.0131156081683476,0.00892123176647118,0.0305111777494254,3.42006334417811,22,0.188034188034188
"donor65.0",0.00412312897712558,0.0090294539800642,0.0300327578670056,3.32608792661371,23,0.196581196581197
"donor132.0",-0.000231481179846487,0.00631657163943969,0.0204836547850046,3.24284373774973,24,0.205128205128205
"donor41.0",0.00414486873124729,0.00516115283178623,0.016280105747766,3.15435451697941,25,0.213675213675214
"donor31.0",0.00679448247909567,0.00615602934186827,0.0193240871256156,3.13905052306833,26,0.222222222222222
"donor124.0",-0.0041393783109023,0.00158570724601369,0.00493454537407161,3.11188927620565,27,0.230769230769231
"donor147.0",-0.0105254823197857,0.00622145476842732,0.0189573266273209,3.04708903832681,28,0.239316239316239
"donor67.0",-0.0045458530462266,0.00432897468591666,0.0130098046417205,3.00528545108961,29,0.247863247863248
"donor51.0",-0.00711772669471007,0.00280967968958457,0.00826567387978195,2.94185629430382,30,0.256410256410256
"donor95.0",0.01149369943324,0.00798082474395496,0.0228135049386089,2.85853977132989,31,0.264957264957265
"donor32.0",0.0183785182614235,0.0110259392355897,0.0308399145216851,2.79703287518034,32,0.273504273504274
"donor33.0",-0.000114463116701003,0.00042868869371085,0.00108973204415162,2.54201256095325,33,0.282051282051282
"donor1.0",-0.00613315372116566,0.00424206716716155,0.0106716331430545,2.51566812182163,34,0.290598290598291
"donor48.0",0.0139496732848011,0.0140444002136269,0.0347641005718111,2.47529976667003,35,0.299145299145299
"donor128.0",0.0169882220031884,0.00840012967177485,0.0199927557825171,2.38005323295121,36,0.307692307692308
"donor149.0",0.0178481484127378,0.0107188666336238,0.0229520704562964,2.1412777340002,37,0.316239316239316
