"treated_point","ATT","Pre.RMSE","Post.RMSE","Ratio.Post.Pre","order","rank"
"donor30.0",0.134253781148144,0.00316906429362081,0.372859383240898,117.65598570892,1,0.00847457627118644
"donor87.0",0.00421186512475069,0.000202673365484022,0.0237708756135762,117.286627953342,2,0.0169491525423729
"donor97.0",0.00361954556254321,5.66664003164103e-05,0.0053478444423696,94.3741690403597,3,0.0254237288135593
"donor49.0",-0.00133482751306148,0.000204183571851319,0.016625037518068,81.4220133741897,4,0.0338983050847458
"donor68.0",0.00286631724020317,9.27826773847552e-05,0.00674831409144347,72.7324785364759,5,0.0423728813559322
"donor146.0",-0.0249474586061175,0.00144949381039794,0.0687012689397548,47.3967314982144,6,0.0508474576271186
"donor74.0",-0.0120878841399144,0.00045212656469672,0.0194075518494162,42.9250421559161,7,0.0593220338983051
"donor45.0",0.0117055695116996,0.000496078861604139,0.0199453594055576,40.2060255925066,8,0.0677966101694915
"donor9.0",0.00340744459858437,0.000476355775377787,0.0185864309508967,39.0179607587548,9,0.076271186440678
"donor101.0",0.0123225788882055,0.00077814374775052,0.0296742086551077,38.1346103992878,10,0.0847457627118644
"donor65.0",0.0115144634164274,0.000901322051148427,0.0339288874978777,37.6434676757846,11,0.0932203389830508
"donor106.0",0.00959367718195933,0.000525668183584958,0.0195557653487438,37.2017290743701,12,0.101694915254237
"donor51.0",-0.0145215563843994,0.000811933805320065,0.0301452534985082,37.1277230988368,13,0.110169491525424
"donor99.0",0.00630258733089822,0.000560130033562946,0.020469558172902,36.5442967639078,14,0.11864406779661
"treated",-0.00201946401968568,0.000210180865515814,0.00721994902588154,34.3511242479792,15,0.127118644067797
"donor36.0",-0.028549389038148,0.0010815043107435,0.0368242362074894,34.0490887014347,16,0.135593220338983
"donor10.0",-0.0021889119823344,0.00101263939281125,0.0330810171122789,32.6681120121554,17,0.14406779661017
"donor40.0",0.00927111920259435,0.00137189580900502,0.04471436557449,32.5931206152744,18,0.152542372881356
"donor22.0",-0.00642143881517411,0.000292012339550218,0.00934596068629522,32.0053621730187,19,0.161016949152542
"donor25.0",0.00276235948935304,0.000800941306411349,0.0233336341775554,29.1327641498511,20,0.169491525423729
"donor63.0",0.0430613968239385,0.00356938901005254,0.101057072910073,28.3121488370879,21,0.177966101694915
"donor29.0",-0.00458152580719992,0.00022525156381418,0.00615597782431196,27.3293455551336,22,0.186440677966102
"donor113.0",0.0056003207068559,0.000530558154864439,0.0126942969064817,23.9263062683961,23,0.194915254237288
"donor67.0",-0.0178887076655212,0.00109405805686763,0.0235238729983269,21.5014850909077,24,0.203389830508475
"donor118.0",-0.00751086202153708,0.000733578094546931,0.0154892907081047,21.1147126982725,25,0.211864406779661
"donor50.0",0.00791011506096456,0.000575761779725506,0.0114381460870749,19.8661086752372,26,0.220338983050847
"donor105.0",0.0347021186678167,0.00215957202917865,0.042181213133188,19.5322094207854,27,0.228813559322034
"donor8.0",-0.00670753588392244,0.0008040553355461,0.0151004628412105,18.7803776352713,28,0.23728813559322
"donor108.0",-0.0382964657342305,0.00636540450974391,0.115593630644484,18.1596676955153,29,0.245762711864407
"donor117.0",-0.00251465280844906,0.000448007343218684,0.00704852119025151,15.7330483460646,30,0.254237288135593
"donor147.0",4.84639985182433e-05,0.000434759364131653,0.0061183264114877,14.0729031189653,31,0.26271186440678
