"year","deforestation","synthetic_deforestation"
2001,0.000942024699820104,0.000607135808139904
2002,0.00109473139918337,0.00200098695205716
2003,0.000202107465691267,0.001285376671568
2004,0.000784939853698761,0.00361378143081566
2005,0.000961241670694773,0.00328070901417579
2006,0.00091402018510383,0.00291586108578872
2007,0.000222030863663436,0.00165301670792808
2008,0.00053724268033731,0.00261424025037404
2009,0.000157168282790181,0.00304401122938153
2010,0.000449216928671333,0.00243209168424393
2011,0.00251446165394393,0.00226822879654834
2012,0.000388501938260451,0.00281742503020948
2013,0.000613704794141014,0.00229070897125836
2014,0.00520834254724649,0.00246368424418071
2015,7.19902831671921e-05,0.00154058350229647
2016,0.0138660273034768,0.0125843456549402
2017,7.6902571171734e-05,0.00629823782215989
2018,8.68810584550307e-05,0.00545245624705297
2019,0.000198931257413891,0.00428125413191085
2020,0.00037935595513057,0.00451599608695686
